PDB,CHAIN,SP_PRIMARY
6pwz,A,Q9BZX2
6pwz,B,Q9BZX2
6pwz,C,Q9BZX2
6pwz,D,Q9BZX2
6pwz,E,Q9BZX2
6pwz,F,Q9BZX2
6pwz,G,Q9BZX2
6pwz,H,Q9BZX2
6px0,A,Q9NZN9
6px5,B,P00734
6px5,X,P00734
6px6,A,Q08AS3
6px6,B,A0A0U5IHY9
6px6,D,K7N5M3
6px9,A,Q14790
6px9,B,Q14790
6px9,C,Q14790
6px9,D,Q14790
6px9,E,Q14790
6px9,F,Q14790
6pxb,A,P20936
6pxb,B,P20936
6pxb,C,P20936
6pxb,D,P20936
6pxb,E,P20936
6pxb,F,P20936
6pxc,A,P20936
6pxc,U,Q9NRY4
6pxf,A,P43235
6pxj,A,P00734
6pxj,B,P00734
6pxj,H,P00734
6pxj,L,P00734
6pxn,A,P48730
6pxn,B,P48730
6pxo,A,P48730
6pxo,B,P48730
6pxp,A,P48730
6pxp,B,P48730
6pxq,A,P00734
6pxq,B,P00734
6pxr,A,P10636
6pxu,A,Q8IXK2
6pxu,B,Q8IXK2
6pxv,A,P06213
6pxv,C,P06213
6pxv,D,A6XGL2
6pxv,E,A6XGL2
6pxv,F,A6XGL2
6pxv,G,A6XGL2
6pxw,A,P06213
6pxw,B,P06213
6pxw,C,A6XGL2
6pxw,D,A6XGL2
6pxw,E,A6XGL2
6pxw,F,A6XGL2
6py1,A,Q8IUN9
6py2,A,Q08AS3
6py2,B,A0A0U5IHY9
6py2,D,K7N5N2
6py2,E,K7N5M4
6py8,B,Q7Z6K4
6py8,C,Q06330
6py8,E,Q06330
6py8,F,P46531
6py8,G,Q7Z6K4
6py8,K,P46531
6pya,A,P04278
6pyb,A,P04278
6pyf,A,P04278
6pyh,B,P05019
6pyj,A,P01889
6pyj,B,P61769
6pyj,C,P37268
6pyl,A,P01889
6pyl,B,P61769
6pyo,A,A8K7I4
6pyo,B,A8K7I4
6pyp,A,P21695
6pyp,B,P21695
6pyr,A,O00329
6pyr,B,P27986
6pys,A,P42336
6pyu,A,O00329
6pyu,B,P27986
6pyv,A,P01889
6pyv,B,P61769
6pyv,C,P37268
6pyw,A,P01889
6pyw,B,P61769
6pyw,C,P37268
6pyx,A,A8K7I4
6pyx,B,A8K7I4
6pyy,A,P48775
6pyy,B,P48775
6pyy,C,P48775
6pyy,D,P48775
6pyz,A,P48775
6pyz,B,P48775
6pyz,C,P48775
6pyz,D,P48775
6pz1,A,P14902
6pz1,B,P14902
6pz3,A,Q9Y253
6pz4,A,P56817
6pz5,A,P01889
6pz5,B,P61769
6pz5,C,P37268
6pzp,A,P29466
6pzp,B,P29466
6pzt,A,P55011
6pzt,B,P55011
6pzv,A,P0CG47
6pzv,B,P0CG47
6pzv,D,P84243
6pzv,E,P0CG47
6pzv,F,P0CG47
6pzv,H,P84243
6q00,A,P0CG48
6q00,B,O95551
6q01,C,O95551
6q01,D,O95551
6q02,A,Q9Y253
6q0d,A,P00338
6q0d,B,P00338
6q0d,C,P00338
6q0d,D,P00338
6q0d,E,P00338
6q0d,F,P00338
6q0j,A,P15056
6q0j,B,P15056
6q0j,C,Q02750
6q0j,D,Q02750
6q0k,A,P15056
6q0k,B,P15056
6q0k,X,P63104
6q0k,Y,P63104
6q0m,A,Q96RT1
6q0m,B,Q96RT1
6q0n,A,Q96RT1
6q0n,B,Q96RT1
6q0q,A,P17931
6q0r,A,Q16531
6q0r,B,Q66K64
6q0r,C,Q66K64
6q0r,D,Q14498
6q0r,E,Q9BW61
6q0t,A,P15056
6q0t,B,P15056
6q0t,C,Q02750
6q0u,A,Q96RT1
6q0u,B,Q96RT1
6q0v,A,Q16531
6q0v,B,Q66K64
6q0v,C,Q66K64
6q0v,D,Q14498
6q0v,E,Q9BW61
6q0w,A,Q16531
6q0w,B,Q66K64
6q0w,C,Q66K64
6q0w,D,Q14498
6q0w,E,Q9BW61
6q13,A,P00338
6q13,B,P00338
6q13,C,P00338
6q13,D,P00338
6q17,A,P17931
6q1n,A,P04062
6q1n,B,P04062
6q1p,A,P04062
6q1p,B,P04062
6q1u,A,P00747
6q1u,B,P00747
6q1v,A,P18858
6q21,A,P01112
6q21,B,P01112
6q21,C,P01112
6q21,D,P01112
6q2i,A,P33240
6q2j,A,Q99988
6q2j,B,Q99988
6q2j,C,Q6UXV0
6q2j,D,Q6UXV0
6q2j,E,P07949
6q2j,F,P07949
6q2n,A,P39905
6q2n,B,P39905
6q2n,C,P56159
6q2n,D,P56159
6q2n,E,P07949
6q2n,F,P07949
6q2o,A,Q99748
6q2o,B,Q99748
6q2o,C,O00451
6q2o,D,O00451
6q2o,E,P07949
6q2o,F,P07949
6q2r,A,Q99748
6q2r,B,Q99748
6q2r,C,O00451
6q2r,D,O00451
6q2r,E,P07949
6q2r,F,P07949
6q2r,U,Q99748
6q2r,V,Q99748
6q2r,W,O00451
6q2r,X,O00451
6q2r,Y,P07949
6q2r,Z,P07949
6q2s,A,Q5T4W7
6q2s,B,Q5T4W7
6q2s,C,O60609
6q2s,D,O60609
6q2s,E,P07949
6q2s,F,P07949
6q2t,A,Q16850
6q2t,B,Q16850
6q2v,A,Q92576
6q2v,B,Q92576
6q2v,C,Q92576
6q2v,D,Q92576
6q2v,E,Q92576
6q2v,F,Q92576
6q2v,G,Q92576
6q2v,H,Q92576
6q2w,A,P51449
6q2w,B,P51449
6q2x,A,Q15561
6q2x,L,P46937
6q36,A,Q15561
6q36,B,Q15561
6q37,A,P78540
6q37,B,P78540
6q37,C,P78540
6q38,A,P68400
6q39,A,P78540
6q39,B,P78540
6q39,C,P78540
6q3b,A,P24941
6q3c,A,P24941
6q3f,A,P24941
6q3k,A,P04439
6q3k,B,P61769
6q3m,A,Q14839
6q3m,B,Q14839
6q3m,C,Q14839
6q3m,D,Q14839
6q3o,A,P00918
6q3o,B,P00918
6q3o,C,P00918
6q3o,D,P00918
6q3s,A,P04439
6q3s,B,P61769
6q3s,D,A0A0B4J279
6q3s,D,K7N5N2
6q3s,E,A0A0K0K1A5
6q3s,E,K7N5M4
6q3v,A,O75113
6q3w,A,P51570
6q3w,B,P51570
6q3w,C,P51570
6q3w,D,P51570
6q3x,A,P51570
6q3x,B,P51570
6q3y,A,O60885
6q3y,B,O60885
6q3z,A,O60885
6q3z,B,O60885
6q42,A,P04054
6q42,B,P04054
6q48,A,P24941
6q49,A,P24941
6q4a,A,P24941
6q4b,A,P24941
6q4c,A,P24941
6q4d,A,P24941
6q4e,A,P24941
6q4f,A,P24941
6q4g,A,P24941
6q4h,A,P24941
6q4i,A,P24941
6q4j,A,P24941
6q4k,A,P24941
6q4m,A,O15294
6q4q,A,P68400
6q4q,B,P68400
6q4r,A,Q9NZ08
6q5y,A,Q92576
6q5y,B,Q92576
6q5y,C,Q92576
6q5y,D,Q92576
6q5y,E,P24928
6q5y,F,P24928
6q6f,A,O75874
6q6f,B,O75874
6q6g,A,Q9H1A4
6q6g,C,Q9NYG5
6q6g,D,P60006
6q6g,G,Q8NHZ8
6q6g,H,Q96DE5
6q6g,I,Q9UJX5
6q6g,J,P30260
6q6g,K,Q13042
6q6g,L,Q9UM13
6q6g,M,Q9BS18
6q6g,N,Q9UJX6
6q6g,O,Q9UJX4
6q6g,P,P30260
6q6g,Q,Q13042
6q6g,R,Q12834
6q6g,S,P20248
6q6g,U,Q9UJX2
6q6g,V,Q9UJX2
6q6g,W,Q8NHZ8
6q6g,Y,Q9UJX3
6q6g,Z,Q9UJX3
6q6h,A,Q9H1A4
6q6h,C,Q9NYG5
6q6h,D,P60006
6q6h,G,Q8NHZ8
6q6h,H,Q96DE5
6q6h,I,Q9UJX5
6q6h,J,P30260
6q6h,K,Q13042
6q6h,L,Q9UM13
6q6h,M,Q9BS18
6q6h,N,Q9UJX6
6q6h,O,Q9UJX4
6q6h,P,P30260
6q6h,Q,Q13042
6q6h,R,Q12834
6q6h,S,P20248
6q6h,U,Q9UJX2
6q6h,V,Q9UJX2
6q6h,W,Q8NHZ8
6q6h,Y,Q9UJX3
6q6h,Z,Q9UJX3
6q6j,A,P78330
6q6j,B,P78330
6q6k,A,P04062
6q6k,B,P04062
6q6l,A,P04062
6q6l,B,P04062
6q6m,A,P51449
6q6n,A,P04062
6q6n,B,P04062
6q6o,A,P51449
6q6q,A,Q06278
6q6r,E,Q9H2U1
6q6r,F,Q9H2U1
6q6r,G,Q9H2U1
6q6r,H,Q9H2U1
6q7a,A,P51449
6q7b,A,P29317
6q7c,A,P29317
6q7d,A,P29317
6q7e,A,P29317
6q7f,A,P29317
6q7g,A,P29317
6q7h,A,P51449
6q7k,A,P28482
6q7s,A,P28482
6q7t,A,P28482
6q82,B,P62826
6q84,B,P62826
6q84,E,P62826
6q8f,A,Q2TAY7
6q8f,B,Q2TAY7
6q8i,A,Q2TAY7
6q8i,B,Q2TAY7
6q8i,C,Q13123
6q8i,D,Q13123
6q8i,E,Q2TAY7
6q8i,F,Q2TAY7
6q8i,G,Q13123
6q8i,H,Q13123
6q8i,I,Q2TAY7
6q8i,J,Q2TAY7
6q8i,K,Q13123
6q8i,L,Q13123
6q8i,M,Q2TAY7
6q8i,N,Q2TAY7
6q8i,O,Q13123
6q8i,P,Q13123
6q8j,A,Q2TAY7
6q8k,A,P49759
6q8p,A,P49759
6q8p,B,P49759
6q8p,C,P49759
6q8z,A,P51570
6q8z,B,P51570
6q8z,C,P51570
6q8z,D,P51570
6q90,A,P51570
6q90,B,P51570
6q90,C,P51570
6q90,D,P51570
6q91,A,P51570
6q91,B,P51570
6q91,C,P51570
6q91,D,P51570
6q92,A,P05089
6q92,B,P05089
6q94,A,O60547
6q94,B,O60547
6q94,C,O60547
6q94,D,O60547
6q94,E,O60547
6q94,F,O60547
6q94,G,O60547
6q94,H,O60547
6q96,A,Q00987
6q96,B,Q00987
6q9f,A,Q12797
6q9f,B,P00742
6q9h,A,Q00987
6q9i,A,Q12797
6q9i,B,P00742
6q9l,A,Q00987
6q9l,B,Q00987
6q9o,A,Q00987
6q9o,B,Q00987
6q9p,A,P05089
6q9p,B,P05089
6q9q,A,O15151
6q9q,B,O15151
6q9q,C,O15151
6q9q,D,O15151
6q9r,A,P06396
6q9r,B,P06396
6q9s,A,O15151
6q9s,B,O15151
6q9s,C,O15151
6q9t,A,P00918
6q9u,A,O15151
6q9v,A,Q8IXL7
6q9v,B,Q8IXL7
6q9w,A,O15151
6q9w,B,O15151
6q9y,A,O15151
6q9y,B,O15151
6q9z,A,P06396
6q9z,B,P06396
6qa0,A,Q8IXL7
6qa0,B,Q8IXL7
6qa1,A,P28482
6qa3,A,P28482
6qa4,A,P28482
6qa5,A,Q12797
6qaa,A,P06276
6qab,A,P06276
6qac,A,P06276
6qad,A,P06276
6qae,A,P06276
6qaf,A,P05089
6qaf,B,P05089
6qag,A,P28482
6qah,A,P28482
6qaj,A,Q13263
6qaj,B,Q13263
6qak,A,P49189
6qak,B,P49189
6qak,C,P49189
6qak,D,P49189
6qak,E,P49189
6qak,F,P49189
6qak,G,P49189
6qak,H,P49189
6qal,A,P28482
6qao,A,P49189
6qao,B,P49189
6qao,C,P49189
6qao,D,P49189
6qao,E,P49189
6qao,F,P49189
6qao,G,P49189
6qao,H,P49189
6qap,A,P49189
6qap,B,P49189
6qap,C,P49189
6qap,D,P49189
6qaq,A,P28482
6qas,A,O75385
6qas,B,O75385
6qat,A,Q8IYT8
6qat,B,Q8IYT8
6qat,C,Q8IYT8
6qat,D,Q8IYT8
6qau,A,Q8IYT8
6qau,B,Q8IYT8
6qau,C,Q8IYT8
6qav,A,Q8IYT8
6qav,B,Q8IYT8
6qav,C,Q8IYT8
6qav,D,Q8IYT8
6qaw,A,P28482
6qb3,A,Q07820
6qb4,A,Q07820
6qb5,A,Q8WVM7
6qb5,B,Q8WVM7
6qb5,C,Q8WVM7
6qb5,D,Q8WVM7
6qb6,A,Q07820
6qb7,A,Q68DU8
6qb7,B,Q68DU8
6qb7,C,Q68DU8
6qb7,D,Q68DU8
6qb7,E,Q68DU8
6qb8,A,P17987
6qb8,B,P78371
6qb8,D,P50991
6qb8,E,P48643
6qb8,G,P49368
6qb8,H,Q99832
6qb8,Q,P50990
6qb8,Z,P40227
6qb8,a,P17987
6qb8,b,P78371
6qb8,d,P50991
6qb8,e,P48643
6qb8,g,P49368
6qb8,h,Q99832
6qb8,q,P50990
6qb8,z,P40227
6qba,A,P02753
6qbf,A,P06396
6qbf,B,P06396
6qbg,A,P07339
6qbg,B,P07339
6qbh,A,P07339
6qbh,B,P07339
6qbs,A,P43235
6qbs,B,P43235
6qby,A,Q86V25
6qby,B,Q8N300
6qby,C,Q86V25
6qby,D,Q8N300
6qc0,A,P12004
6qc0,B,Q9NZJ0
6qc0,C,P12004
6qc0,D,Q9NZJ0
6qc0,E,P12004
6qc0,F,Q9NZJ0
6qcb,A,P07339
6qcb,B,P07339
6qcd,A,Q8N6T7
6qcd,B,Q8N6T7
6qce,A,Q8N6T7
6qce,B,Q8N6T7
6qcg,A,P12004
6qcg,B,P12004
6qcg,C,P12004
6qcg,D,P12004
6qcg,E,P12004
6qcg,F,P12004
6qcg,G,Q9H211
6qcg,H,Q9H211
6qcg,I,Q9H211
6qcg,J,Q9H211
6qcg,K,Q9H211
6qcg,L,Q9H211
6qch,A,Q8N6T7
6qch,B,Q8N6T7
6qci,A,P98170
6qci,B,P98170
6qci,C,P98170
6qci,D,P98170
6qcj,A,Q8N6T7
6qcj,B,Q8N6T7
6qck,A,Q9BPX1
6qcn,A,Q8IXJ6
6qcn,B,Q8IXJ6
6qd5,A,Q13336
6qdr,A,P31947
6qdr,B,Q9NQU5
6qds,A,P31947
6qds,B,Q9NQU5
6qdt,A,P31947
6qdt,B,Q9Y4G8
6qdu,A,P31947
6qdv,7,P38919
6qdv,8,Q9Y5S9
6qdv,9,Q96A72
6qdv,A,Q6P2Q9
6qdv,B,O75643
6qdv,C,Q15029
6qdv,D,Q9H875
6qdv,F,Q8WUQ7
6qdv,G,Q9Y421
6qdv,H,Q9HCG8
6qdv,J,O43660
6qdv,K,Q13573
6qdv,L,P41223
6qdv,M,Q9NW64
6qdv,N,Q96DI7
6qdv,O,Q99459
6qdv,P,Q9P013
6qdv,S,Q9BZJ0
6qdv,T,Q9HCS7
6qdv,U,O60306
6qdv,V,Q14562
6qdv,W,P09661
6qdv,Y,P08579
6qdv,Z,Q8N5F7
6qdv,b,P14678
6qdv,c,O95391
6qdv,d,P62318
6qdv,e,P62304
6qdv,f,P62306
6qdv,g,P62308
6qdv,h,P62314
6qdv,i,Q9Y3C6
6qdv,j,P62316
6qdv,k,P14678
6qdv,l,P62314
6qdv,m,P62316
6qdv,n,P62318
6qdv,o,O60508
6qdv,p,P62304
6qdv,q,P62306
6qdv,r,P62308
6qdv,s,O75934
6qdv,t,Q9UMS4
6qdv,u,Q9UMS4
6qdv,v,Q9UMS4
6qdv,w,Q9UMS4
6qdv,y,O95926
6qdv,z,Q6IQ49
6qdz,A,Q16539
6qe1,A,Q16539
6qe3,A,Q5T440
6qe4,A,Q5T440
6qeb,A,P00918
6qed,A,P50579
6qef,A,P50579
6qeg,A,P50579
6qeh,A,P50579
6qei,A,P50579
6qej,A,P50579
6qex,A,P08183
6qey,A,Q9NZI8
6qf4,A,O94768
6qf5,A,P41181
6qf5,B,P41181
6qf5,C,P41181
6qf5,D,P41181
6qf7,B,P00748
6qf7,D,P00748
6qf8,A,P0CG47
6qfa,A,P28472
6qfa,B,P28472
6qfa,C,P28472
6qfa,D,P28472
6qfa,E,P28472
6qfb,A,P53396
6qfb,B,P53396
6qfb,C,P53396
6qfb,D,P53396
6qfc,A,Q07820
6qfe,A,Q9Y337
6qfe,B,Q9Y337
6qff,A,Q92876
6qff,B,Q92876
6qfg,A,Q92876
6qfg,B,Q92876
6qfh,A,Q92876
6qfh,B,Q92876
6qfi,A,Q07820
6qfi,B,O43521
6qfl,A,O14733
6qfm,A,Q07820
6qfm,B,Q9BXH1
6qfq,A,Q07820
6qfr,A,O14733
6qft,A,O14733
6qfu,A,P00918
6qfv,A,P00918
6qfw,A,P00918
6qfx,A,P00918
6qg4,A,O14733
6qg7,A,O14733
6qg8,A,P10415
6qg8,B,Q9BXH1
6qgd,A,Q07820
6qge,A,P17931
6qgf,A,P17931
6qgg,A,P10415
6qgh,A,P10415
6qgj,A,P10415
6qgk,A,P10415
6qgn,A,O75608
6qgn,B,O75608
6qgn,C,O75608
6qgn,D,O75608
6qgo,B,O75608
6qgo,C,O75608
6qgq,A,O75608
6qgq,B,O75608
6qgq,C,O75608
6qgq,D,O75608
6qgs,A,O75608
6qgs,B,O75608
6qgs,C,O75608
6qgs,D,O75608
6qgs,E,O75608
6qgs,F,O75608
6qgv,A,Q9GZT9
6qh3,A,Q16763
6qh3,B,Q16763
6qh4,A,Q96PE7
6qh4,B,Q96PE7
6qh4,C,Q96PE7
6qh4,D,Q96PE7
6qh5,B,P63010
6qh6,B,P63010
6qh6,Q,P01730
6qh7,B,P63010
6qh7,Q,P01730
6qh9,A,Q92876
6qh9,B,Q92876
6qha,A,Q92876
6qha,B,Q92876
6qhb,A,Q92876
6qhb,B,Q92876
6qhc,A,Q92876
6qhc,B,Q92876
6qhd,A,P40763
6qhd,B,P40763
6qhj,A,Q99784
6qhk,A,Q16763
6qhk,B,Q16763
6qhl,A,P31947
6qhl,P,Q04206
6qhm,A,P31947
6qhm,P,Q04206
6qho,A,O14733
6qhr,A,O14733
6qi4,B,P62166
6qi4,C,P62166
6qi8,A,Q9Y265
6qi8,B,Q9Y265
6qi8,C,Q9Y265
6qi8,D,Q9Y230
6qi8,E,Q9Y230
6qi8,F,Q9Y230
6qi9,A,Q9Y265
6qi9,B,Q9Y265
6qi9,C,Q9Y265
6qi9,D,Q9Y230
6qi9,E,Q9Y230
6qi9,F,Q9Y230
6qig,A,Q76LX8
6qio,A,P02768
6qio,B,P55899
6qio,C,P61769
6qip,A,P02768
6qip,B,P55899
6qip,C,P61769
6qiu,A,P31947
6qiu,P,P54253
6qj5,A,P37231
6qj5,B,P37231
6qj7,A,P17612
6qj7,B,P61925
6qja,A,Q14980
6qja,B,Q14980
6qja,C,Q14980
6qja,D,Q14980
6qjd,A,P78352
6qjd,B,P78352
6qjd,C,P78352
6qjd,D,P78352
6qje,A,P51570
6qje,B,P51570
6qje,C,P51570
6qje,D,P51570
6qjf,A,P78352
6qjf,B,P78352
6qjf,C,P78352
6qjf,D,P78352
6qjg,A,P78352
6qjg,B,P78352
6qjg,C,P78352
6qjg,D,P78352
6qjh,A,P10636
6qjh,B,P10636
6qjh,C,P10636
6qji,A,P78352
6qji,B,P78352
6qji,C,P78352
6qji,D,P78352
6qji,E,P78352
6qji,F,P78352
6qjj,A,P78352
6qjk,A,P78352
6qjl,A,P78352
6qjl,B,P78352
6qjm,A,P10636
6qjm,B,P10636
6qjm,C,P10636
6qjn,A,P78352
6qjn,B,P78352
6qjp,A,P10636
6qjp,B,P10636
6qjp,C,P10636
6qjq,A,P10636
6qjq,B,P10636
6qjq,C,P10636
6qjq,D,P10636
6qjq,E,P10636
6qjq,F,P10636
6qju,A,Q15059
6qju,B,Q15059
6qk9,A,P0CG47
6qk9,B,P0CG47
6qk9,C,P0CG47
6qk9,D,P0CG47
6qk9,E,P0CG47
6qk9,F,P0CG47
6qk9,G,P0CG47
6qk9,H,P0CG47
6qk9,I,P0CG47
6qk9,J,P0CG47
6qk9,K,P0CG47
6qk9,L,P0CG47
6qkl,J,Q9Y3A5
6ql1,A,P00918
6ql2,A,P00918
6ql3,A,P00918
6ql8,A,P43235
6qlb,A,P04632
6qlb,B,P04632
6qlb,C,P04632
6qlb,D,P04632
6qlm,A,P43235
6qlm,B,P43235
6qln,A,P17931
6qlo,A,P17931
6qlp,A,P17931
6qlq,B,P17931
6qlr,A,P17931
6qls,A,P17931
6qlt,A,P17931
6qlu,A,P17931
6qlw,A,P43235
6qlw,B,P43235
6qlw,C,P43235
6qlw,D,P43235
6qlx,A,P43235
6qly,A,Q8WY64
6qlz,A,Q8WY64
6qlz,B,Q8WY64
6qlz,C,Q8WY64
6qm0,A,P43235
6qm0,B,P43235
6qml,A,P15374
6qml,B,P0CG47
6qml,C,P0CG48
6qml,D,P15374
6qml,E,P0CG47
6qml,F,P0CG48
6qmo,A,P53355
6qmp,A,P23511
6qmp,B,P25208
6qmp,C,Q13952
6qmq,A,P23511
6qmq,B,P25208
6qmq,C,Q13952
6qmr,A,P00746
6qmr,B,P00746
6qmr,C,P00746
6qmr,D,P00746
6qmr,E,P00746
6qmr,F,P00746
6qms,A,P23511
6qms,B,P25208
6qms,C,Q13952
6qmt,A,P00746
6qmt,B,P00746
6qmu,A,P80188
6qmu,B,P80188
6qn0,A,O43570
6qn0,B,O43570
6qn0,C,O43570
6qn0,D,O43570
6qn2,A,Q16790
6qn2,B,Q16790
6qn2,C,Q16790
6qn2,D,Q16790
6qn4,A,P53355
6qn5,A,Q16790
6qn5,B,Q16790
6qn5,C,Q16790
6qn5,D,Q16790
6qn6,A,Q16790
6qn6,B,Q16790
6qn6,C,Q16790
6qn6,D,Q16790
6qng,A,O43570
6qng,B,O43570
6qng,C,O43570
6qng,D,O43570
6qnl,A,O43570
6qnl,B,O43570
6qnl,C,O43570
6qnl,D,O43570
6qnn,A,Q00610
6qnn,B,Q9NYZ3
6qno,A,P63096
6qnp,A,Q00610
6qnp,B,Q00610
6qnp,C,Q00610
6qnp,D,Q00610
6qnp,H,Q9NYZ3
6qnp,I,Q9NYZ3
6qnp,J,Q9NYZ3
6qnp,K,Q9NYZ3
6qns,S,P21579
6qnt,D,Q14126
6qnu,D,Q14126
6qnu,E,Q14126
6qnv,A,P24821
6qnx,A,Q8N3U4
6qnx,B,O60216
6qnx,C,P49711
6qp5,A,Q8IU85
6qpj,A,O15516
6qpl,B,Q9Y657
6qrm,A,P30419
6qrm,B,P30419
6qrm,C,Q96NN9
6qrm,D,Q96NN9
6qrn,A,Q05315
6qs1,A,P12821
6qs1,B,P12821
6qsb,A,P12955
6qsb,B,P12955
6qsc,A,P12955
6qsc,B,P12955
6qst,A,Q92793
6qst,B,Q92793
6qst,C,Q92793
6qst,D,Q92793
6qsw,AAA,P00751
6qsw,BBB,P00751
6qsw,CCC,P00751
6qsx,AAA,P00751
6qsx,BBB,P00751
6qtg,A,P49336
6qtg,B,P24863
6qtj,A,P49336
6qtj,B,P24863
6qty,A,P49759
6qu1,A,Q13263
6qu1,D,Q9H4L7
6qu2,A,Q13627
6qu2,B,Q13627
6qu2,C,Q13627
6qu2,D,Q13627
6qu7,A,Q02127
6qus,I,Q5T5Y3
6qus,O,P68363
6qus,S,P07437
6qus,U,P07437
6qus,X,P68363
6qut,A,Q16790
6qut,B,Q16790
6qut,C,Q16790
6qut,D,Q16790
6quu,A,P01116
6quu,B,P01116
6quv,A,P01116
6quv,B,P01116
6quw,A,P01116
6quw,B,P01116
6qux,A,P01116
6qux,B,P01116
6quy,A,P68363
6quy,C,P68363
6quy,G,P07437
6quy,H,P07437
6qv6,A,P35523
6qv6,B,P35523
6qvb,A,P35523
6qvb,B,P35523
6qvc,A,P35523
6qvc,B,P35523
6qvd,A,P35523
6qvd,B,P35523
6qve,A,P68363
6qve,C,P68363
6qve,G,P07437
6qve,H,P07437
6qvg,A,P34897
6qvg,B,P34897
6qvj,I,Q5T5Y3
6qvj,O,P68363
6qvj,S,P07437
6qvj,U,P07437
6qvj,X,P68363
6qvl,A,P34897
6qvl,B,P34897
6qvo,A,P36639
6qvo,B,P36639
6qvo,C,P36639
6qvo,D,P36639
6qvs,A,P15907
6qvs,B,P15907
6qvt,A,P15907
6qvt,B,P15907
6qvu,A,P35523
6qvu,B,P35523
6qvw,A,Q12778
6qw3,A,P06396
6qw6,41,P62314
6qw6,42,P62316
6qw6,43,P62318
6qw6,4A,O43395
6qw6,4B,O43172
6qw6,4C,Q8WWY3
6qw6,4D,P55769
6qw6,4b,P14678
6qw6,4e,P62304
6qw6,4f,P62306
6qw6,4g,P62308
6qw6,51,P62314
6qw6,52,P62316
6qw6,53,P62318
6qw6,5A,Q6P2Q9
6qw6,5B,O75643
6qw6,5C,Q15029
6qw6,5D,P83876
6qw6,5J,O94906
6qw6,5O,Q96DI7
6qw6,5X,Q9BUQ8
6qw6,5b,P14678
6qw6,5e,P62304
6qw6,5f,P62306
6qw6,5g,P62308
6qw6,62,Q9Y333
6qw6,63,P62310
6qw6,64,Q9Y4Z0
6qw6,65,Q9Y4Y9
6qw6,66,P62312
6qw6,67,Q9UK45
6qw6,68,O95777
6qw6,R,Q9BTD8
6qw6,S,O43290
6qw6,U,Q53GS9
6qw6,X,Q8WVK2
6qwv,A,Q6SZW1
6qwv,B,Q6SZW1
6qwv,C,Q6SZW1
6qwv,D,Q6SZW1
6qwv,E,Q6SZW1
6qwv,F,Q6SZW1
6qwv,G,Q6SZW1
6qwv,H,Q6SZW1
6qwv,I,Q6SZW1
6qwv,J,Q6SZW1
6qwv,K,Q6SZW1
6qwv,L,Q6SZW1
6qwv,M,Q6SZW1
6qwv,N,Q6SZW1
6qwv,O,Q6SZW1
6qwv,P,Q6SZW1
6qx9,11,P62314
6qx9,12,P62316
6qx9,13,P62318
6qx9,1A,P09012
6qx9,1C,P09234
6qx9,1K,P08621
6qx9,1b,P14678
6qx9,1e,P62304
6qx9,1f,P62306
6qx9,1g,P62308
6qx9,21,P62314
6qx9,22,P62316
6qx9,23,P62318
6qx9,2A,P09661
6qx9,2B,P08579
6qx9,2b,P14678
6qx9,2e,P62304
6qx9,2f,P62306
6qx9,2g,P62308
6qx9,41,P62314
6qx9,42,P62316
6qx9,43,P62318
6qx9,4A,O43395
6qx9,4B,O43172
6qx9,4C,Q8WWY3
6qx9,4D,P55769
6qx9,4b,P14678
6qx9,4e,P62304
6qx9,4f,P62306
6qx9,4g,P62308
6qx9,51,P62314
6qx9,52,P62316
6qx9,53,P62318
6qx9,5A,Q6P2Q9
6qx9,5B,O75643
6qx9,5C,Q15029
6qx9,5D,P83876
6qx9,5J,O94906
6qx9,5O,Q96DI7
6qx9,5X,Q9BUQ8
6qx9,5b,P14678
6qx9,5e,P62304
6qx9,5f,P62306
6qx9,5g,P62308
6qx9,62,Q9Y333
6qx9,63,P62310
6qx9,64,Q9Y4Z0
6qx9,65,Q9Y4Y9
6qx9,66,P62312
6qx9,67,Q9UK45
6qx9,68,O95777
6qx9,A1,Q15459
6qx9,A2,Q15428
6qx9,A3,Q12874
6qx9,B1,O75533
6qx9,B2,Q13435
6qx9,B3,Q15393
6qx9,B4,Q15427
6qx9,B5,Q9BWJ5
6qx9,BP,Q7RTV0
6qx9,K,Q13523
6qx9,R,Q9BTD8
6qx9,S,O43290
6qx9,U,Q53GS9
6qx9,X,Q8WVK2
6qxg,A,P04818
6qxg,B,P04818
6qxg,C,P04818
6qxh,A,P04818
6qxh,B,P04818
6qxh,C,P04818
6qxj,A,Q07820
6qxk,B,P11309
6qxu,A,O95271
6qxz,B,P68431
6qy7,A,P68400
6qy7,B,P68400
6qy8,A,P19784
6qy8,B,P19784
6qy8,C,P19784
6qy8,D,P19784
6qy9,A,P19784
6qyk,A,Q07820
6qyl,A,Q07820
6qyn,A,Q07820
6qyo,A,Q07820
6qyp,A,Q07820
6qyq,A,P04818
6qyq,B,P04818
6qyq,C,P04818
6qyq,D,P04818
6qyx,A,Q16539
6qz5,A,Q07820
6qz6,A,Q07820
6qz7,A,Q07820
6qz8,A,Q07820
6qza,AAA,P01903
6qza,BBB,P01911
6qza,DDD,P01903
6qza,EEE,P01911
6qzb,A,Q07820
6qzc,AAA,P01903
6qzc,BBB,P01911
6qzd,AAA,P01903
6qzd,BBB,P01911
6qzd,DDD,P01903
6qzd,EEE,P01911
6qzh,A,P32248
